batch_size,concurrency,replicate,generation_requests,embedding_requests,chunks,makespan_us,attempt_overlap_us,provider_overlap_us,attempt_peak_active,provider_peak_active,chunks_per_second,requests_per_second,input_tokens,output_tokens,embedding_tokens,cost_microunits
1,1,1,16,16,16,643939,72119,1280,1,1,24.847059,24.847059,0,0,0,0
2,1,1,8,16,16,232077,40032,264,1,1,68.942441,34.471221,0,0,0,0
4,1,1,4,16,16,148681,19498,518,1,1,107.612258,26.903064,0,0,0,0
8,1,1,2,16,16,80742,5867,0,1,1,198.161532,24.770191,0,0,0,0
8,2,1,2,16,16,72057,0,0,2,2,222.045212,27.755652,0,0,0,0
4,2,1,4,16,16,99973,8938,929,2,2,160.043084,40.010771,0,0,0,0
2,2,1,8,16,16,198132,5101,189,2,2,80.753952,40.376976,0,0,0,0
1,2,1,16,16,16,240218,27624,465,2,2,66.605988,66.605988,0,0,0,0
1,4,1,16,16,16,244084,9041,95,4,2,65.551202,65.551202,0,0,0,0
2,4,1,8,16,16,252515,0,0,4,3,63.362341,31.681171,0,0,0,0
4,4,1,4,16,16,89779,2720,0,4,3,178.214639,44.553660,0,0,0,0
8,4,1,2,16,16,87286,0,0,2,2,183.304152,22.913019,0,0,0,0
